NAME	DESCRIPTION	post_BRAFi_patB04	post_BRAFi_patB08	post_BRAFi_patB16	post_BRAFi_patB30	pre_BRAFi_patB04	pre_BRAFi_patB08	pre_BRAFi_patB16	pre_BRAFi_patB30
AADACL1	AADACL1	8.297624688	7.881670846	7.277279359	7.749742118	7.38220269	7.039486075	7.177069136	6.906341927
AADACL2	AADACL2	6.912552731	6.977335199	6.915008452	6.917932258	6.874031761	6.954946927	6.927993052	6.99255673
AADACL4	AADACL4	6.915976359	7.073009616	7.003939572	7.355370055	6.97936506	7.020863543	6.937145052	6.964534373
AADAT	AADAT	7.017512359	7.158155142	7.470491073	8.703754065	7.034038876	7.581042786	7.25669488	7.073201024
AAGAB	AAGAB	12.68946402	12.60700359	12.85351343	10.45582595	12.69897336	12.23784389	12.28572939	12.40563834
AAK1	AAK1	7.144164766	8.980505123	8.214249942	7.864534168	7.966443604	7.786768037	7.663795442	7.371642565
AAMP	AAMP	8.01665256	8.158017208	7.894735844	9.250342978	8.172930271	8.322312517	7.77406792	8.692075826
AANAT	AANAT	6.85538372	6.897342074	6.946850994	6.896148433	6.872117242	6.882579166	6.799048453	6.875168837
AARS	AARS	13.12812149	13.65329672	13.62960916	14.83028605	13.57725739	14.72926774	13.77545682	13.59396586
AARS2	AARS2	12.13871229	11.95532723	11.77943258	11.92226	12.12125377	11.60345151	11.5930515	12.6726468
AARSD1	AARSD1	10.43006486	10.27933472	9.936401267	10.2993969	10.46867391	10.69189117	10.46778098	10.02356434
AASDH	AASDH	7.115781761	8.762395416	8.028336319	10.45429374	8.311925921	9.804843081	7.132503472	7.735811674
AASDHPPT	AASDHPPT	7.84032619	7.808717712	7.427313384	8.739028452	9.245496828	8.296364715	7.190378812	7.620574716
AASS	AASS	8.907035826	10.10413858	8.15290706	9.311159118	10.35810789	10.70340555	8.657683904	9.886430084
AATF	AATF	12.21109944	12.14105862	11.94340182	12.28882791	12.39846412	11.91635662	11.76809129	11.89880942
AATK	AATK	7.027605228	10.12668888	7.67753371	6.955774773	7.304661251	8.177919917	8.460120117	7.201684275
ABAT	ABAT	8.800783588	10.99903071	9.771993444	9.463185786	8.36691897	9.196047301	8.953042759	8.687839321
ABCA1	ABCA1	12.33238231	12.41880102	11.23412956	13.39602347	13.33229391	13.03220491	13.19472032	12.94385992
ABCA10	ABCA10	9.613084277	8.414673679	8.355574633	7.283753951	8.590039058	7.973169471	8.802844823	8.651283326
ABCA11	ABCA11	6.972023315	7.137614333	7.006158601	6.941402418	6.919333774	7.069864292	6.866484745	6.921705424
ABCA12	ABCA12	6.939844186	6.964371974	7.169895111	7.016977177	6.900966359	6.915661441	6.92138637	6.988552341
ABCA13	ABCA13	7.083196709	6.900065667	7.00961822	8.391041644	7.060443837	7.005280813	7.01431497	7.059960759
ABCA2	ABCA2	7.608244887	8.016959216	7.278252659	9.075294206	8.197088245	7.932268668	8.274179713	8.014328567
ABCA3	ABCA3	8.596008753	10.19531286	11.26541379	10.93784538	10.82915225	10.83540537	11.09644586	11.41290941
ABCA4	ABCA4	6.931338145	8.817237197	7.840365291	7.87698484	6.951564624	7.040743997	7.088923491	6.980793415
ABCA5	ABCA5	7.084891662	9.701193787	7.551937469	9.666630746	8.47281844	9.776683954	8.165740429	9.774197018
ABCA6	ABCA6	7.9965257	8.44326072	7.230973997	7.813558831	7.746176343	7.990890874	8.96891442	8.056790543
ABCA7	ABCA7	8.132950101	7.585950661	8.791751877	6.955774773	7.86422217	7.096639216	8.260588761	7.092424302
ABCA8	ABCA8	11.58437715	12.20832024	7.142548689	10.80941085	12.36052072	9.307826186	12.43040421	12.00557173
ABCA9	ABCA9	9.46956029	9.674931851	7.156363981	7.307633079	8.770037072	7.930856357	10.29097493	9.96098014
ABCB1	ABCB1	7.338605382	9.646620522	11.12211811	8.646379226	7.189732249	7.716260048	8.938202663	8.294312999
ABCB10	ABCB10	8.507438237	9.3635273	9.344374492	9.780697398	9.106748987	9.739099286	9.053137105	8.577427992
ABCB11	ABCB11	6.960190685	6.9597307	7.081360501	6.91719313	7.062256567	6.955278352	7.026818118	6.924044371
ABCB4	ABCB4	7.126300262	7.010321888	7.660449011	9.518939975	7.09305583	7.377918466	8.095046245	7.389218538
ABCB5	ABCB5	6.955112075	6.948112182	7.070263929	6.918942319	6.935533305	7.596567491	6.865066464	6.888549867
ABCB6	ABCB6	8.33577264	10.21423039	10.4275687	10.93628363	9.332624252	10.21192963	10.59499388	10.02205072
ABCB7	ABCB7	8.51093403	10.99656297	9.797240845	9.600625721	9.659860635	10.12037722	9.102804177	9.923795689
ABCB8	ABCB8	7.35410063	9.301502987	7.379956531	7.114655937	8.903813885	7.935090997	9.248178112	9.08169229
ABCB9	ABCB9	8.596008753	10.10079625	9.55541639	9.464334061	10.27152498	8.625284834	8.846494088	9.492339998
ABCC1	ABCC1	10.32653893	9.268498003	10.10266198	7.726145824	9.402069735	8.653508601	9.804787136	8.789884205
ABCC10	ABCC10	9.987693115	8.643124207	8.555933107	9.659654888	9.473404834	8.67487505	8.262534379	9.453214413
ABCC11	ABCC11	7.136964539	7.406481191	8.750921893	7.44119626	7.42424481	7.819566174	7.358350692	7.540794995
ABCC12	ABCC12	6.895373034	6.950655776	6.991654297	6.923267991	6.894508368	6.947294046	6.952568194	6.887505343
ABCC13	ABCC13	7.041062346	8.84840038	7.3902229	6.970444911	7.159107869	7.068928091	7.065705504	7.052224598
ABCC2	ABCC2	6.94154322	8.842158341	8.370401861	8.894075594	7.0613494	7.100367127	7.163031508	6.913042218
ABCC3	ABCC3	7.022558978	10.65830158	7.142364315	8.95897315	8.160757544	7.490650894	7.375065213	7.470424481
ABCC4	ABCC4	7.071368137	7.064121673	7.785616527	8.862157336	7.248913077	6.947961873	7.023436973	7.022961802
ABCC5	ABCC5	9.590780267	10.84438823	10.58262136	12.08582979	10.489778	11.08895379	11.45498054	11.81900179
ABCC6	ABCC6	8.552321532	9.583949235	8.118751296	7.603641664	7.99481456	7.442333967	7.099610894	7.312411707
ABCC6P1	ABCC6P1	6.970334306	7.288540864	7.14619496	6.970966702	7.065901162	7.052043027	6.92138637	6.938192606
ABCC6P2	ABCC6P2	6.998999908	7.050210647	6.985024398	6.918182134	6.975604228	7.004322706	7.081990366	6.954597078
ABCC8	ABCC8	10.33808571	10.5801597	9.965458678	7.086012958	8.377917818	8.291806334	9.611783593	6.988552341
ABCC9	ABCC9	9.898457151	10.33133567	8.279088474	7.590401989	9.921780813	9.343663998	10.23401893	10.07467928
ABCD1	ABCD1	9.751310216	9.243035468	8.626107684	8.39137227	9.858129335	8.134557152	10.44568758	8.723429098
ABCD2	ABCD2	7.108840338	7.107961254	7.203109167	7.050258736	7.054150325	7.077347977	7.188462367	7.208167536
ABCD3	ABCD3	7.012465065	7.5215823	7.216518409	7.019054762	6.968179324	7.283899487	7.099610894	6.97519077
ABCD4	ABCD4	7.562570027	7.269143059	7.901029295	7.505191052	8.13958703	8.256180361	8.972547239	9.405645086
ABCE1	ABCE1	10.34167565	10.74282869	12.57211609	9.612143337	10.84531534	11.95906116	9.664188469	10.1408897
ABCF1	ABCF1	12.03452681	12.52565696	11.91574575	12.86356162	12.45901094	12.23896311	12.27570458	12.67800449
ABCF2	ABCF2	8.255127213	8.345142732	8.566021387	8.951093612	9.336883507	9.304681322	8.564783142	9.90267983
ABCF3	ABCF3	8.503935303	8.072672572	7.475040297	9.659502874	9.205455348	9.198373539	8.564783142	8.261502076
ABCG1	ABCG1	8.278373283	9.509721902	7.187849658	10.19395633	9.904199011	7.985643103	9.74174883	10.34626816
ABCG2	ABCG2	8.475659332	10.54683069	7.353907925	7.43314795	8.300522181	7.967326964	8.986968048	7.866916322
ABCG4	ABCG4	7.175713399	8.722685604	7.449704089	8.750226622	7.895756747	7.401552241	7.295600506	8.516441643
ABCG5	ABCG5	7.489763556	10.01066217	7.329990041	8.861110797	6.983921841	7.146858094	7.221921974	7.264567792
ABCG8	ABCG8	6.972023315	11.60777617	7.750494386	6.961899329	7.064987635	7.066118422	9.333310899	7.449224357
ABHD1	ABHD1	6.886740691	6.975944842	7.028795629	7.630450559	7.001055139	6.980186221	7.015463618	6.891392463
ABHD10	ABHD10	8.582691465	9.360772122	10.27891545	10.99937086	9.079415479	10.67494262	8.409733425	9.657262656
ABHD11	ABHD11	7.900098113	9.131527009	9.519426434	7.50133368	8.114848443	8.766411175	8.107241322	8.188624878
ABHD12	ABHD12	9.989670488	10.27705995	9.409836515	10.89280111	10.74274741	8.44877484	9.588086024	10.29706703
ABHD12B	ABHD12B	10.87290143	6.92378071	10.1365058	7.90890518	9.95752142	9.352344913	11.17883107	9.978881164
ABHD13	ABHD13	7.020876828	7.809405086	7.899231574	9.356410449	7.123398098	8.334100346	7.238453866	7.449224357
ABHD14A	ABHD14A	11.67504794	9.133006298	11.12186281	11.42950964	10.89557357	10.78040496	10.66127256	10.95085696
ABHD14B	ABHD14B	7.397371459	9.330994907	8.496416586	10.89562739	7.947402226	10.88042248	7.687496617	8.939546311
ABHD15	ABHD15	8.160794243	9.643460857	8.853044176	9.920427676	8.873584166	8.932297513	9.39318364	9.031450948
ABHD2	ABHD2	11.23699802	9.455925785	9.91295905	9.776958495	10.80318896	8.12051602	9.613082372	10.26131339
ABHD3	ABHD3	7.197076751	8.911178095	7.350739017	7.44119626	7.697702157	7.511241826	7.713424155	7.678610932
ABHD4	ABHD4	11.79610904	10.9685703	10.3936149	10.09632571	10.38448094	10.69627196	10.12154621	10.2335011
ABHD5	ABHD5	7.31608089	8.921113709	8.396929211	9.323622174	7.570544044	8.812825344	7.123221158	7.009418928
ABHD6	ABHD6	11.60965713	12.87775559	12.92840286	11.38179559	12.08878713	10.90085818	11.35533231	11.53184204
ABHD7	ABHD7	7.112304475	7.227363201	8.277197445	7.122974396	7.22889979	7.232519805	7.655949673	7.420957213
ABHD8	ABHD8	9.313287762	10.11984639	10.96170081	10.71326271	9.551894969	9.836104551	9.876380652	9.985282811
ABHD9	ABHD9	10.67683257	8.366692155	11.01564307	9.987381619	9.639806515	9.348210085	12.2380621	10.48402794
ABI1	ABI1	8.112991682	8.895434228	8.100099419	9.119547044	8.543438897	8.369497278	8.809764718	9.38657564
ABI2	ABI2	11.11429221	9.497760378	9.920483458	8.228584613	10.65259919	10.08457148	10.15264885	10.37534792
ABI3	ABI3	7.659257373	9.581203643	7.354305791	8.422093297	8.926016393	7.480047104	8.54979914	8.943018365
ABI3BP	ABI3BP	7.171914351	8.072140443	7.24989747	10.43253084	8.592629523	8.933309443	11.08725147	10.20280654
ABL1	ABL1	11.25321228	12.55191222	12.91146956	13.37697895	11.56913255	13.62961889	12.50444965	12.06857435
ABL2	ABL2	11.92956198	9.85882363	9.300275926	9.171969025	11.67460518	11.73895298	10.84369123	11.16792428
ABLIM1	ABLIM1	10.3630353	11.38982402	9.223045997	10.79702979	9.373149154	8.232568538	10.54507374	10.29959887
ABLIM2	ABLIM2	12.70089223	9.621510346	11.28944767	9.188528485	11.19149801	9.950828779	11.11633316	10.32846737
ABLIM3	ABLIM3	7.331002635	7.333331629	7.258310684	9.92507037	8.637590618	7.344368755	7.988387651	8.151276168
ABO	ABO	11.62464163	13.19252269	11.6119422	8.697927605	9.877015671	9.754229848	11.71219745	9.567471863
ABP1	ABP1	7.015830018	14.49081602	7.123093489	7.384254148	7.596694606	7.188920193	8.031636047	7.917925958
ABR	ABR	11.57564211	11.82527912	10.04646622	11.95964729	11.75550162	11.49995164	12.20219637	11.68388983
ABRA	ABRA	6.924519275	6.882909196	7.022220838	7.486767551	6.990848801	7.005600071	6.933236711	6.924044371
ABT1	ABT1	7.079811232	7.520672421	7.171012625	7.921959399	7.176953516	7.317683543	7.098648593	7.477486767
ABTB1	ABTB1	8.638540563	10.93965585	9.591068238	9.768391981	9.670106375	10.28899313	10.24588206	10.79179735
ABTB2	ABTB2	7.308759405	7.085681674	7.196345503	7.605393596	7.233323716	7.17531563	7.116681624	7.665029153
ACAA1	ACAA1	10.72115801	11.54826013	9.351061951	8.870995389	10.7278378	9.416966068	9.966327301	10.08030419
ACAA2	ACAA2	8.320572426	11.27180737	8.018651124	10.63355382	9.317351184	10.51408896	8.117381503	9.282398983
ACACA	ACACA	7.33352627	10.49219701	11.26708671	12.1277349	9.615331676	11.63917647	10.21652829	9.773488085
ACACB	ACACB	9.047686562	13.34705899	12.4639202	12.21071392	10.57137674	11.50607184	12.29898046	12.38164304
ACAD10	ACAD10	7.074742412	10.67423702	9.04626552	10.19722818	8.987799539	9.565824591	9.911559552	10.09738913
ACAD11	ACAD11	10.1153991	11.7025528	9.12636606	11.47870854	11.00432605	10.87242523	10.47995641	11.61480505
ACAD8	ACAD8	7.273493449	7.946748311	7.368272834	8.349844328	8.468112107	7.286687457	7.38363416	9.045811505
ACAD9	ACAD9	12.09352028	11.85159036	11.56894669	12.08194188	12.53467958	12.27582561	12.5217994	12.71049073
ACADL	ACADL	6.993947405	6.886081579	7.34896742	7.027566485	7.085440386	7.100988284	7.45424705	7.130046817
ACADM	ACADM	11.47347813	11.5236833	10.606124	9.687067659	10.74851743	11.18366501	10.70716112	9.821556272
ACADS	ACADS	7.738632641	10.98505879	7.834649487	8.14323963	9.624526727	7.699259891	9.434841771	8.644729294
ACADSB	ACADSB	6.929634647	7.966964456	7.245971975	7.533736366	7.042676717	7.276466188	6.943612321	7.166706726
ACADVL	ACADVL	11.66773731	14.14130558	12.06539878	13.68052884	13.45541624	13.50326429	13.30864327	13.16632039
ACAN	ACAN	9.964649563	6.856875749	7.509330794	7.451209061	7.350181366	7.052982938	6.910695896	8.261502076
ACAP1	ACAP1	9.037942673	9.38413703	6.914616354	8.766618938	7.546934979	7.629986559	7.711421229	9.679224097
ACAP2	ACAP2	9.161390621	10.3339632	10.73596415	7.778585636	9.469207025	10.30352119	9.124192177	9.643115327
ACAP3	ACAP3	7.611829615	8.865216758	7.776901609	6.949571199	8.451048056	7.795961928	8.737377436	9.111968399
ACAT1	ACAT1	10.1205933	10.01667564	8.611096099	10.19050488	9.10732383	7.930291219	7.513777753	9.919737668
ACAT2	ACAT2	7.916122531	8.937998304	8.528442572	7.928716775	8.328392103	8.205925411	7.072905607	6.946853778
ACBD3	ACBD3	8.060890016	8.794366654	9.549605212	10.64615636	9.390859741	10.70965398	8.83707372	10.01749102
ACBD4	ACBD4	7.025923167	8.054428008	7.135783371	8.214747569	8.07958979	7.219839647	6.976294962	8.142571697
ACBD5	ACBD5	10.29947304	8.304340085	8.778659641	7.012882255	8.93531736	7.355547311	9.514570434	9.181320926
ACBD6	ACBD6	9.94206481	7.733084068	8.902628467	10.8741264	9.506437032	10.49888995	9.943637126	9.141418736
ACBD7	ACBD7	12.54999575	10.17296329	12.32689979	9.121561099	11.49546851	11.10582369	12.34726232	9.914486631
ACCN1	ACCN1	9.902802682	7.891225537	9.919721658	7.205782669	9.035081534	8.113199882	9.851316815	7.792142481
ACCN2	ACCN2	7.073054857	9.01522763	9.585243538	9.464069175	7.208078369	7.728660413	8.054205722	7.847572816
ACCN3	ACCN3	7.515533334	7.820340239	7.989473259	8.588794154	7.185456479	7.835690021	7.310193002	7.582594703
ACCN4	ACCN4	9.815360632	7.004969217	7.254160996	7.716847043	7.70517215	7.123943314	8.697371533	8.230966915
ACCN5	ACCN5	7.079811232	7.593617375	7.74061137	6.918942319	6.910089723	7.361449002	7.060490611	6.954597078
ACCS	ACCS	13.74500096	13.51741142	12.59122205	13.69199532	13.88177957	13.46628649	13.90073206	14.32079167
ACCSL	ACCSL	9.999495723	6.990857841	9.834989886	8.34668171	9.351900822	9.462616104	9.333310899	10.30356513
ACD	ACD	7.015830018	8.366692155	8.670205165	10.93732491	8.57788417	10.24817772	9.477789722	10.58289016
ACE	ACE	8.586031105	12.43787659	7.823818024	6.943368994	9.375435151	7.634922252	10.15483689	8.847447943
ACE2	ACE2	6.958498353	10.99409092	7.188451221	7.246558768	6.932798635	7.225715463	7.144516585	6.880588999
ACER1	ACER1	7.225526633	6.896799499	8.404845727	7.319061887	7.076984721	7.393775785	8.851845587	6.951441702
ACER2	ACER2	7.674135221	9.341129167	7.783211936	7.418987756	7.280555858	7.465705293	7.234266194	7.484545506
ACER3	ACER3	7.213150486	7.837194101	7.264533676	8.137624596	7.438782975	8.015322992	7.067774666	6.957830581
ACHE	ACHE	10.17197437	9.90444693	8.681012296	7.172861669	8.95761923	8.842697486	10.47119034	7.075899302
ACIN1	ACIN1	9.003258403	8.977507619	8.905354801	10.08915929	8.583975262	9.711922753	8.033690558	9.425410394
ACLY	ACLY	14.26903458	14.47879505	14.58258965	14.69057854	14.20941933	14.56149887	14.37637895	14.40684964
ACMSD	ACMSD	6.933040858	6.929090321	7.530277893	6.994828908	6.995529465	6.92153721	8.341085671	7.169835777
ACN9	ACN9	7.227617216	7.957500492	9.037422616	10.27762591	7.661555317	9.915289919	7.555194482	8.843691288
ACO1	ACO1	11.62885034	12.57970735	8.476148678	11.4018463	11.54252945	10.25892911	11.58222324	11.51908045
ACO2	ACO2	7.414353589	11.15992157	10.31271742	8.452437498	8.033430599	10.13015544	7.584907695	7.755794122
ACOT1	ACOT1	9.710953345	8.867562338	8.173219687	6.926818609	9.150774851	7.391287767	8.264478656	6.914065524
ACOT11	ACOT11	12.17100437	13.86985293	9.881738181	10.97664839	12.76899469	8.244900688	11.45780894	12.46025554
ACOT12	ACOT12	7.215193579	7.496749224	7.670747836	7.345012171	7.294293277	7.136643134	7.070860423	7.491599911
ACOT2	ACOT2	7.608244887	8.50650253	7.237761245	7.264083005	7.727556976	8.137406329	9.209726292	7.739149648
ACOT4	ACOT4	7.110570812	7.664930408	7.246272856	9.216361016	7.327889497	7.313962155	7.134354134	6.966260081
ACOT6	ACOT6	7.024241088	7.138584954	7.003621456	6.927748117	6.993182781	6.962543694	7.106301903	6.97519077
ACOT7	ACOT7	8.664156834	10.02930467	12.09982599	10.76598384	10.29324261	10.80355365	10.46379199	10.30068207
ACOT8	ACOT8	7.31363018	7.888050588	8.259294864	7.399631997	7.212434776	7.823091413	7.39234699	7.610249152
ACOT9	ACOT9	7.140555108	8.811475294	8.951277532	9.083098846	7.968816728	9.051700078	8.374763766	8.622654564
ACOX1	ACOX1	7.203048962	9.998283968	7.689366582	6.956694068	7.499941618	7.331333079	7.699432754	7.406838696
ACOX2	ACOX2	7.171914351	11.5291977	7.365809975	9.653485785	8.757913394	7.699259891	8.195669925	7.924242886
ACOX3	ACOX3	7.071368137	7.124113436	7.034078955	6.985287248	6.93007855	7.11154145	7.058387853	7.565223847
ACOXL	ACOXL	6.94154322	6.950017867	7.175902219	7.362609198	7.14158227	7.050789436	6.924035976	6.910072294
ACP1	ACP1	11.6088036	11.70575117	11.32737187	9.158828938	11.46756323	9.976151554	11.48986518	11.44836468
ACP2	ACP2	9.267509182	9.794699537	8.150074957	10.16006996	9.697894076	8.668433218	8.295399978	9.573897346
ACP5	ACP5	7.417225009	6.867761616	7.353113364	9.865822872	10.36342371	7.267486699	10.20402906	9.99425649
ACP6	ACP6	6.860643576	7.905704274	7.139761867	10.90725092	9.357017937	10.26487326	7.767960736	9.025009283
ACPL2	ACPL2	8.312942442	7.613788269	8.926057942	7.557888103	8.487780112	7.897877286	7.199074196	7.456292467
ACPP	ACPP	7.025923167	7.07660381	7.331865087	7.992274137	6.946627483	7.009426902	7.055215708	6.890215137
ACPT	ACPT	10.54875897	8.410709288	11.70142887	7.116495248	10.10760448	9.448413457	10.90021189	10.03605822
ACR	ACR	9.95956434	8.841264555	10.30757649	7.602764526	9.249069793	9.341252519	10.94982149	10.27065279
ACRBP	ACRBP	6.914265025	6.973870855	7.397417054	7.453205002	7.226692989	7.567358633	6.856511047	8.250449022
ACRC	ACRC	7.968351719	9.572567997	9.158445409	10.02820481	8.89358992	8.683234274	7.379331827	9.783352698
ACRV1	ACRV1	7.268954467	6.890340143	7.713732801	7.946272426	7.049704362	7.123013617	7.362477068	7.027643042
ACSBG1	ACSBG1	7.856206547	7.139556373	7.334695089	8.919883935	7.475373004	7.691038281	9.925444167	8.549589132
ACSBG2	ACSBG2	6.917686753	7.186983865	7.308901275	7.309711027	6.944527567	7.024029703	6.92138637	6.986581476
ACSF2	ACSF2	7.010782429	8.849882862	7.318387705	9.094084812	7.128409385	7.271821303	7.280315591	9.665468108
ACSF3	ACSF3	7.057891288	7.449404872	7.30555965	8.343858563	8.115978097	7.389732868	8.046006434	8.104483846
ACSL1	ACSL1	6.929634647	6.990131689	7.13288606	8.370573849	7.114457704	7.087933777	7.205925895	6.990544071
ACSL3	ACSL3	11.96778099	9.612746514	11.37738937	9.438441368	10.55783191	10.9043046	11.09661868	10.79439322
ACSL4	ACSL4	11.23509971	9.869420572	9.960792558	8.494494707	10.61952699	9.617717818	10.02139412	10.16261289
ACSL5	ACSL5	11.62716855	14.96384421	10.64788414	12.67399187	12.00829497	11.63512325	12.44399533	12.4635434
ACSL6	ACSL6	10.52425993	11.32744347	7.206324901	7.214887197	8.350797168	7.696521132	9.59008429	10.21196958
ACSM1	ACSM1	6.968644865	6.948112182	6.891753096	6.941402418	6.861245538	6.926342185	6.860798533	6.879426489
ACSM2B	ACSM2B	7.168140004	6.926129496	7.62919985	7.22098194	7.119411761	7.120224119	6.981181075	6.925240332
ACSM3	ACSM3	8.774433749	8.260753551	7.972003478	7.427090685	7.731283593	7.273679173	9.042937792	7.456292467
ACSM5	ACSM5	6.912552731	6.920868842	7.686996978	7.043240536	6.97936506	7.084822112	7.048806572	6.986581476
ACSS1	ACSS1	10.97147292	11.44706922	7.982669825	11.79680338	8.626701142	10.41647833	9.423799758	10.89305495
ACSS2	ACSS2	14.89819891	14.85872287	14.04600709	13.73220812	14.4667758	13.33869997	14.06091587	14.37354161
ACSS3	ACSS3	6.88501051	6.986525258	7.026419807	7.048684059	6.934164116	7.042944109	6.866484745	6.936814846
ACTA1	ACTA1	6.897095929	6.92261279	6.97452135	8.487608662	7.293144663	12.19438404	7.237403386	6.891392463
ACTA2	ACTA2	14.0659165	13.91465273	13.19966426	14.77512274	14.23685715	13.77931696	14.06187462	13.7911499
ACTB	ACTB	13.05780075	12.54187588	13.94603688	14.05770241	12.91372515	14.05420077	12.29972944	11.95545995
ACTBL2	ACTBL2	7.470965558	6.959073401	7.09621442	6.919199245	7.094973956	7.028139385	7.663795442	7.624011066
ACTC1	ACTC1	8.096989157	6.957110002	7.207492127	7.04711792	7.098827034	7.930008604	7.167690406	7.533792277
ACTG1	ACTG1	13.5101755	12.52768889	13.05717982	12.84091847	12.87610623	12.83704092	12.65345326	12.57094597
ACTG2	ACTG2	13.90678293	14.68806032	12.75725272	14.08513139	13.70111389	12.65471073	13.54824868	13.75567686
ACTL6A	ACTL6A	10.81363823	10.62419031	11.54721118	9.899438194	10.96387289	10.95668107	10.28509515	10.8496219
ACTL6B	ACTL6B	10.32218512	7.721911893	10.76490099	7.609759811	8.889476862	9.897294446	9.310461669	7.968087392
ACTL7A	ACTL7A	6.94154322	6.984380715	6.987690038	6.915069289	7.045299762	7.072671875	7.046650975	7.169835777
ACTL7B	ACTL7B	6.970334306	6.9690848	6.949772077	6.918942319	6.99162539	6.91427205	8.382176265	6.927685689
ACTL8	ACTL8	6.879812178	6.929685866	7.041559633	7.001714565	6.966709456	6.967797916	7.037932478	6.966260081
ACTN1	ACTN1	14.01620275	13.81108437	14.8497066	13.5776221	14.27761979	15.14030419	13.9291476	13.69697328
ACTN2	ACTN2	7.311189701	6.92378071	7.169414566	6.989988136	7.03833758	7.248606772	7.156534621	7.127070986
ACTN3	ACTN3	7.655557685	6.987243314	8.022762584	7.179776672	7.153919135	7.608345269	7.487703338	7.234438349
ACTN4	ACTN4	13.94977971	14.39445562	14.39112658	14.30969266	13.88219187	14.54664024	14.0078491	13.6996525
ACTR10	ACTR10	7.292028398	8.154078899	7.604676381	8.22941484	7.627871054	8.342777198	7.13897568	7.109494755
ACTR1A	ACTR1A	11.58872216	12.74160306	12.61233274	12.51478655	11.96330503	12.39628733	12.35203879	12.28476
ACTR1B	ACTR1B	12.04213876	12.01299593	11.55291496	12.92806217	11.97600543	12.31248983	11.20837246	12.37523064
ACTR2	ACTR2	12.9379005	11.90594723	12.37103787	9.849066884	12.68545353	11.42700977	11.92552352	11.8313125
ACTR3	ACTR3	10.72391748	11.1825381	12.24065157	12.47556921	11.44106359	11.08688884	11.6174537	11.64337794
ACTR3B	ACTR3B	8.247345337	8.104638294	7.338883893	6.924715063	8.319147579	7.507497494	7.02003422	7.470424481
ACTR5	ACTR5	7.47406736	7.904453381	7.407182818	9.368427514	7.921061941	8.072525655	7.821130938	8.600223262
ACTR6	ACTR6	10.30242475	11.43590526	12.36137127	12.23625038	11.48146304	11.8758718	11.53091175	11.83432199
ACTR8	ACTR8	6.993947405	7.121242862	7.203401917	7.516692291	7.056837752	7.791219946	7.046650975	7.011622734
ACTRT1	ACTRT1	9.752583935	7.223302446	7.065063923	7.369837244	7.569300077	7.125182809	7.110093407	7.237757748
ACTRT2	ACTRT2	9.083587456	6.983669061	7.428715133	7.878934278	7.644090262	7.126732018	9.094132841	6.892001646
ACVR1	ACVR1	11.28980408	10.11844856	11.34737406	12.04172652	11.32678448	10.53565932	11.34126995	10.4738204
ACVR1B	ACVR1B	8.552321532	8.367513622	8.00187341	7.162080194	7.629118626	7.490962811	8.56643831	8.2253681
ACVR1C	ACVR1C	6.929634647	6.988684263	7.126950769	7.000442792	6.934848243	6.970416219	6.986029117	7.214685774
ACVR2A	ACVR2A	7.078120486	7.191998316	7.221905703	9.369390592	6.955124157	7.414310136	7.172368485	7.185637181
ACVR2B	ACVR2B	6.917686753	7.09581114	7.141624805	6.978496661	7.124397849	7.246131448	6.993229671	7.204921458
