NAME	DESCRIPTION	Parental_cell_line_rep_1	Parental_cell_line_rep_2	Parental_cell_line_rep_3	Resistant_cell_line_rep_1	Resistant_cell_line_rep_2	Resistant_cell_line_rep_3
ABCD2	ABCD2	5.447044308	5.454887528	5.478971805	5.634435186	5.831648011	5.649957097
ABCD3	ABCD3	9.993756694	10.24576971	10.15317199	10.03559394	10.22179444	10.11048422
ABCD4	ABCD4	6.975095753	7.197722608	6.813781191	7.150555417	7.098917252	7.110897901
ABCE1	ABCE1	12.49374813	12.44653181	12.53583426	12.40192779	12.39944768	12.40463437
ABCF1	ABCF1	12.69211198	12.78433866	12.78267066	12.84990034	12.78100909	12.81003597
ABCF2	ABCF2	12.4255164	12.18540885	12.16437273	12.11816447	12.13926556	12.22316526
ABCF3	ABCF3	10.29364817	9.756032555	10.0061858	10.31899134	10.45909893	10.20867489
ABCG1	ABCG1	6.541328706	6.485676822	6.752213368	6.164019343	6.086964573	6.027165896
ABCG2	ABCG2	6.253418117	6.387985918	6.276124405	8.561203079	8.430730113	8.732200395
ABCG4	ABCG4	6.577872565	6.630867019	6.442943496	6.873452206	6.937149968	6.860875808
ABCG5	ABCG5	6.832197485	6.985924146	6.762880293	6.201243614	6.615541863	6.550788395
ABCG8	ABCG8	5.868605689	4.838453888	5.412781525	5.083648741	5.170771248	5.002181449
ABHD1	ABHD1	5.213521236	5.074083472	5.213347282	5.039208078	5.0076526	5.021085122
ABHD10	ABHD10	12.21903486	12.38091495	12.53427856	12.43530769	12.45673534	12.52325554
ABHD11	ABHD11	8.786398147	8.945717594	8.663202279	8.414475413	8.531722187	8.641194624
ABHD12	ABHD12	12.39330044	12.21697142	12.52525162	12.47293182	12.33780831	12.17208689
ABHD12B	ABHD12B	6.869149	7.128427841	7.059614856	5.979890163	5.651642129	5.990707698
ABHD13	ABHD13	8.484449266	8.55291721	8.684397984	8.416932504	8.376928496	8.254448225
ABHD14A	ABHD14A	10.09542206	9.639526669	10.34307465	9.892057401	10.03334892	9.746690063
ABHD14B	ABHD14B	12.00177477	11.84398296	12.02486263	11.92706178	11.72076212	11.37229025
ABHD15	ABHD15	9.876126728	9.989922182	9.862172397	10.16683861	9.985258653	10.2896111
ABHD2	ABHD2	9.039055664	8.648509364	8.428778891	9.223625543	9.241464758	9.209269418
ABHD3	ABHD3	11.55725342	11.62452142	11.63040365	11.39995033	11.41809602	11.46497343
ABHD4	ABHD4	11.01060439	10.6903052	10.81698362	10.5911457	10.54055129	10.62888956
ABHD5	ABHD5	10.82468167	10.83996157	10.85354349	11.1190462	11.11657901	11.01407574
ABHD6	ABHD6	12.55774646	12.5256062	12.58277708	12.41628781	12.31123179	12.34673553
ABHD7	ABHD7	7.951243394	7.901630566	7.77148947	7.456723958	7.494672691	7.558126632
ABHD8	ABHD8	9.183999921	8.83312049	9.212131562	9.36210599	9.511003444	9.192645751
ABHD9	ABHD9	5.540141125	6.060920618	5.672425342	6.090126302	6.537423947	6.422128654
ABI1	ABI1	10.5142502	10.63608372	10.58054124	10.2733768	10.36914099	10.38784277
ABI2	ABI2	12.34283839	12.49965148	12.36888837	12.47218642	12.34185883	12.54402107
ABI3	ABI3	4.541657309	4.278856857	4.738767837	4.671626183	4.595233443	4.681285518
ABI3BP	ABI3BP	6.8481669	6.6489527	7.188836073	11.91018531	12.06688115	11.6761021
ABL1	ABL1	11.44492931	11.32591522	11.304009	12.01351598	11.89168231	11.93477856
ABL2	ABL2	12.06145097	11.70155043	11.59339112	11.99841334	11.93420647	11.87286891
ABLIM1	ABLIM1	11.51074506	11.72494242	11.49160261	10.6948471	10.47978705	10.76715285
ABLIM2	ABLIM2	4.908493062	5.160400991	5.274261661	5.72506738	5.572363253	5.389241507
ABLIM3	ABLIM3	9.403162843	9.549592124	9.46760555	10.81222326	10.66118111	10.74707314
ABO	ABO	4.946787261	5.172918808	5.040015679	4.604989168	4.84077417	4.769362045
ABP1	ABP1	4.828919379	4.869386808	4.711494907	4.888952338	5.121371521	4.736784679
ABR	ABR	11.57796266	11.58694249	11.47694867	11.4045122	11.5119528	11.36361367
ABRA	ABRA	5.822543789	5.891881398	5.680886921	6.195180529	6.166384159	6.294783545
ABT1	ABT1	8.167430669	8.314657031	8.117902789	7.794574166	7.879156468	7.916092599
ABTB1	ABTB1	9.333065055	9.269064284	9.508190931	9.416619482	9.461899884	9.385401855
ABTB2	ABTB2	9.95123529	9.888981465	10.22749561	9.221782338	9.31336987	9.361970729
ACAA1	ACAA1	10.59900181	10.26804463	10.5056131	10.35755781	10.20084006	10.11768621
ACAA2	ACAA2	12.44932598	12.47366337	12.59879692	12.21581566	12.30003791	12.29227065
ACACA	ACACA	12.47119676	12.6420479	12.4537079	12.58478602	12.49235983	12.4889269
ACACB	ACACB	11.68218477	11.7296981	11.53886792	11.18055611	11.23456006	11.1092987
ACAD10	ACAD10	9.149894931	9.16113426	9.602513297	8.744357665	8.785787258	8.506641059
ACAD11	ACAD11	12.25239314	12.30474413	12.31953101	12.42630396	12.36585057	12.44575857
ACAD8	ACAD8	10.24062226	10.31829116	10.10446771	9.875650744	9.935475739	9.994919574
ACAD9	ACAD9	12.66443946	12.62128345	12.71896091	12.52948257	12.52823362	12.66561475
ACADL	ACADL	7.86157498	7.620847686	7.854245054	6.436521349	6.252209308	6.32104536
ACADM	ACADM	13.18510737	13.40101173	13.18332522	13.09705837	12.77960874	12.94003294
ACADS	ACADS	9.159944103	9.10864771	9.275658945	8.600166476	8.736177769	8.67975689
ACADSB	ACADSB	9.176759045	9.503215614	9.053925882	8.573225039	8.818191137	8.737230546
ACADVL	ACADVL	12.46075658	12.49127308	12.39108245	12.79325396	12.63214017	12.79810344
ACAN	ACAN	4.707665413	4.590002367	4.786596362	5.177441607	4.461752134	4.954015674
ACAP1	ACAP1	4.688639573	4.763710213	4.847996907	5.522950038	5.783253674	5.523127289
ACAP2	ACAP2	12.7525503	12.93455343	12.68374031	12.67006557	12.76441941	12.73588789
ACAP3	ACAP3	7.937471408	8.136837211	7.335390355	7.601219812	7.643302493	7.680677851
ACAT1	ACAT1	12.62044759	12.76253432	12.64649121	12.34271155	12.47512359	12.37332495
ACAT2	ACAT2	13.18292109	13.3372327	13.1205133	12.7740562	12.57788311	12.70987249
ACBD3	ACBD3	11.789111	11.79124685	11.74167764	12.07063034	12.15946144	12.11068189
ACBD4	ACBD4	6.335135627	6.050009416	5.947198584	6.64817636	6.849743417	6.691164627
ACBD5	ACBD5	10.76128087	10.79897192	10.85665896	10.70203495	10.73843533	11.00463735
ACBD6	ACBD6	12.5002807	12.48403219	12.51631561	12.27529715	12.23282441	12.32557875
ACBD7	ACBD7	10.71418307	10.61711586	10.5663395	9.460016491	9.76032626	9.625294627
ACCN1	ACCN1	5.363832295	5.423864957	5.177917792	4.170935682	4.646568558	4.747703267
ACCN2	ACCN2	9.923068563	9.860617146	9.93855045	10.46361803	10.44843942	10.34479772
ACCN3	ACCN3	6.949740542	7.017385423	6.894817763	7.382766271	7.427128296	7.423921331
ACCN4	ACCN4	5.371968665	5.300098214	5.108524457	6.035082709	6.234431427	6.147554803
ACCN5	ACCN5	6.072685371	6.323850838	6.442943496	5.567556315	4.986207687	5.496070587
ACCS	ACCS	12.03712578	12.08299488	11.99205319	12.03237819	11.8677185	11.94824056
ACCSL	ACCSL	9.528716905	9.561699864	9.434628228	6.877713028	6.820416105	6.986631674
ACD	ACD	11.46768283	10.8342546	11.31594203	11.33358969	11.31375924	11.18480128
ACE	ACE	5.462358264	5.485237254	5.083213368	5.11837769	5.161002808	5.257251826
ACE2	ACE2	6.197390629	5.913929249	6.029011087	5.691972864	6.022804726	5.313068519
ACER1	ACER1	4.863526026	4.71928442	4.781359714	5.842590254	5.937612929	5.594583218
ACER2	ACER2	8.656198922	8.680911199	8.54689446	7.89881689	7.750385705	7.895508236
ACER3	ACER3	9.986486477	9.969394968	9.782670659	9.238507772	9.232009601	9.409496595
ACHE	ACHE	5.525653205	6.04121477	5.776103988	6.296465508	6.234431427	6.133980861
ACIN1	ACIN1	10.91288621	11.45587327	10.76071995	11.38539363	11.31479075	11.36596971
ACLY	ACLY	13.66076613	13.67464662	13.66011849	13.75693848	13.75118893	13.76620634
ACMSD	ACMSD	7.295936147	7.712996009	7.962317655	5.959213475	5.877750806	6.393438178
ACN9	ACN9	11.18802911	11.17678779	11.34307465	10.6481855	10.7544523	10.54943244
ACO1	ACO1	12.01444607	12.02214667	12.02880395	12.14638353	12.10396262	12.1033761
ACO2	ACO2	11.57921817	11.14590907	11.36013379	11.33391541	11.18244666	11.17852958
ACOT1	ACOT1	8.306351397	8.337651979	8.327328083	8.264170803	8.108168832	7.959178105
ACOT11	ACOT11	10.04513637	9.813839914	9.708739041	9.613170876	9.674652354	9.762057118
ACOT12	ACOT12	6.706987167	7.068155984	7.059614856	5.884780177	5.292845416	5.725294984
ACOT2	ACOT2	11.15106726	11.43163261	11.10479529	10.83846085	10.91370904	10.85070676
ACOT4	ACOT4	6.821437554	6.734455111	6.539158811	6.818087485	6.877352168	6.85372993
ACOT6	ACOT6	5.095896827	5.130766833	5.125155131	5.083648741	5.228233604	4.983071744
ACOT7	ACOT7	12.31463998	12.02011843	12.1754248	12.35443837	12.33138566	12.37988331
ACOT8	ACOT8	9.773347924	9.679005716	9.882337361	9.916763163	9.951933349	9.726347367
ACOT9	ACOT9	11.92959603	11.67487526	11.58665217	11.89333337	11.9907831	11.87843613
ACOX1	ACOX1	9.203566116	9.407361769	9.143893361	9.597680605	9.466818674	9.537507759
ACOX2	ACOX2	7.012772216	6.88660308	6.614709844	9.110945523	9.110804021	9.115909202
ACOX3	ACOX3	5.756489977	5.578751092	5.5360529	6.195180529	6.364650925	6.130546216
ACOXL	ACOXL	7.758042771	7.592126498	7.727920455	6.754929062	6.792595717	6.82115627
ACP1	ACP1	13.11344429	12.96849047	13.02101465	13.06897915	13.10364425	13.1838093
ACP2	ACP2	11.25239126	11.16379957	10.8224115	11.3359224	11.24279858	11.24818894
ACP5	ACP5	9.657256429	9.390764016	9.591148301	8.477179381	8.233312526	8.318047714
ACP6	ACP6	11.37453429	11.35023369	11.41990752	11.45803611	11.39244907	11.32032871
ACPL2	ACPL2	9.758882069	9.837868777	10.05501123	10.69011952	10.64231881	10.6462465
ACPP	ACPP	8.057365722	8.051633838	7.888134388	9.030503333	9.204252147	9.290792154
ACPT	ACPT	5.26245146	5.185329574	4.95419631	5.407599361	5.414585609	5.351668071
ACR	ACR	5.481270925	5.630756077	5.289096702	5.378943551	5.587158982	5.685393981
ACRBP	ACRBP	6.053153653	6.025681199	6.352264173	6.50296953	6.409869275	6.180374771
ACRC	ACRC	8.740669394	8.708589403	8.74281467	7.889314792	7.820110849	7.751049722
ACRV1	ACRV1	6.667937742	6.510526948	6.388878339	6.247833409	6.223538238	6.308057238
ACSBG1	ACSBG1	11.09229406	11.15678752	11.19985635	10.58848608	10.57075435	10.36937097
ACSBG2	ACSBG2	5.88547494	6.030138108	5.970393538	5.669320473	5.526929935	5.600870436
ACSF2	ACSF2	10.03796745	9.731629653	10.18363538	10.06972034	9.979828406	9.781802299
ACSF3	ACSF3	6.554739073	6.767625455	6.257387843	7.002043262	7.122870941	6.974185104
ACSL1	ACSL1	8.29256376	8.31351595	8.156841525	7.490069528	7.442805223	7.606375395
ACSL3	ACSL3	13.40040322	13.5006826	13.34426816	13.21223534	13.302855	13.21218804
ACSL4	ACSL4	12.07261941	12.2859562	12.01415999	12.31871879	12.26933895	12.3696939
ACSL5	ACSL5	9.166383405	8.929428004	9.251482411	7.339159751	7.41365997	7.454413842
ACSL6	ACSL6	6.468512852	6.916097635	6.741466986	6.167200381	6.42329683	6.308057238
ACSM1	ACSM1	4.701348988	4.673524697	4.760220946	4.593676066	4.335069196	4.714767337
ACSM2B	ACSM2B	7.962154358	7.405534278	8.375908263	5.777939817	5.719400618	5.846080731
ACSM3	ACSM3	7.586556243	7.716596073	7.797012978	7.10122158	7.066498324	7.043140079
ACSM5	ACSM5	6.76621508	6.739614446	6.696272084	6.632438235	6.473936095	6.40907389
ACSS1	ACSS1	12.7704115	12.71752528	12.57246339	12.62007875	12.49513199	12.70908502
ACSS2	ACSS2	13.36912151	13.46504875	13.31965801	13.35607398	13.34640229	13.44573536
ACSS3	ACSS3	5.330819875	5.363332558	5.50779464	5.767588909	5.948081453	5.747417446
ACTA1	ACTA1	5.279846761	5.348704946	5.465974465	5.334827844	5.738958026	5.569090515
ACTA2	ACTA2	10.76447713	10.74522154	10.97928228	8.194479361	8.119338485	8.368585752
ACTB	ACTB	14.06547877	14.11982912	14.17636797	14.1524914	14.11414816	14.17727035
ACTBL2	ACTBL2	6.480940894	6.260121412	6.776103988	6.45249221	6.469082876	6.617326281
ACTC1	ACTC1	6.32519963	6.300542959	6.692092375	4.819156746	4.696765906	4.954015674
ACTG1	ACTG1	12.90259404	13.0310842	13.10788726	13.03986735	12.85807179	12.97274052
ACTG2	ACTG2	10.69893987	10.39892089	10.72970571	9.60164907	9.632052491	9.768979809
ACTL6A	ACTL6A	13.46930556	13.45411691	13.30517825	13.35122208	13.31484016	13.28029313
ACTL6B	ACTL6B	5.025745061	5.028940579	4.916476644	5.334827844	5.692776549	5.058283703
ACTL7A	ACTL7A	4.259415616	4.401167825	4.459431619	4.211401968	4.817441334	4.12075237
ACTL7B	ACTL7B	4.656410487	4.644213877	4.566815154	4.927701787	4.363773755	4.517524373
ACTL8	ACTL8	5.579225248	5.683741217	5.442943496	6.061271773	6.154388589	6.120141709
ACTN1	ACTN1	12.97927638	12.88148331	13.03319928	13.4319885	13.2323873	13.4160449
ACTN2	ACTN2	7.101202475	7.01842089	6.865423978	7.15309512	7.10870122	7.213437605
ACTN3	ACTN3	5.334987909	5.185329574	5.277984747	6.761746947	6.656478482	6.482970804
ACTN4	ACTN4	13.02716738	12.68508872	13.00686953	13.42125558	13.25589318	13.12397575
ACTR10	ACTR10	10.8443682	10.78451375	10.84329297	11.06137417	10.90274455	11.0884905
ACTR1A	ACTR1A	11.09242307	10.85450089	11.08374524	11.14618247	11.22817716	11.08565841
ACTR1B	ACTR1B	13.09436547	12.85817011	12.95760994	12.95814082	13.0336855	12.89247589
ACTR2	ACTR2	12.49866261	12.21784332	12.13050621	12.35519341	12.32896651	12.37601404
ACTR3	ACTR3	12.86394358	12.86553655	12.73532331	12.94153304	12.87501091	13.03004558
ACTR3B	ACTR3B	9.157494086	9.342463054	9.216745858	8.603263737	8.580687565	8.763019339
ACTR5	ACTR5	9.668877984	9.623365682	9.841721581	9.386396134	9.445661585	9.441876942
ACTR6	ACTR6	12.17271056	11.96947379	12.19749316	12.18729734	12.09397379	12.23849907
ACTR8	ACTR8	9.305121782	9.339311952	9.297604133	8.99637638	9.053623603	8.936407682
ACTRT1	ACTRT1	6.197390629	6.032360914	6.368069877	6.164019343	6.142195241	5.986550939
ACTRT2	ACTRT2	4.834741156	5.082948069	4.832890014	3.97321747	4.363773755	4.366716757
ACVR1	ACVR1	12.03922216	11.93982608	11.92172938	12.42909808	12.26630446	12.31903632
ACVR1B	ACVR1B	10.22003743	10.42556099	10.13660668	10.35611574	10.34135702	10.40263287
ACVR1C	ACVR1C	9.998800703	9.857539552	9.858291887	8.857472275	9.008713983	8.759710479
ACVR2A	ACVR2A	9.992720084	10.24110824	10.28227762	10.16276356	10.00334757	10.24397327
ACVR2B	ACVR2B	6.997602523	7.077083873	6.812498225	6.805427937	6.799231226	6.771012024
ACVRL1	ACVRL1	9.430270729	9.492664971	9.614157687	8.328632349	8.274910044	8.643827301
ACY1	ACY1	11.00221023	10.70006971	10.78561594	10.37730311	10.43477302	10.17134847
ACY3	ACY3	5.469953676	4.996497834	5.145677455	5.535861414	5.831648011	5.502889694
ACYP1	ACYP1	11.95793827	12.00025297	12.05419729	11.96193761	12.05614516	11.94327318
ACYP2	ACYP2	9.501385518	9.475260715	9.55190048	10.10421458	10.22906119	10.19409056
ADA	ADA	12.53005807	12.68671	12.53177133	12.61704896	12.83761026	12.72355124
ADAD1	ADAD1	5.371968665	5.288642054	5.419538892	5.101103575	4.646568558	5.002181449
ADAD2	ADAD2	4.499103182	4.71928442	4.722466024	4.736186603	4.582218961	4.577465283
ADAL	ADAL	9.57893722	9.69373049	9.746010382	9.353554043	9.490998472	9.284956076
ADAM10	ADAM10	12.40098934	12.53416352	12.55415713	12.51351322	12.50452804	12.4589906
ADAM11	ADAM11	6.094315477	5.973312502	5.807354922	6.247833409	6.193628017	5.836177963
ADAM12	ADAM12	6.906308922	6.861103322	6.875288598	7.190723844	7.176790128	7.19270581
ADAM15	ADAM15	12.22910624	12.01852044	12.30175339	12.11253058	12.08536218	12.15902616
ADAM17	ADAM17	12.03969512	12.0014667	12.10999385	12.06964517	12.06798619	12.10484016
ADAM18	ADAM18	7.008124153	6.533397115	7.533719071	5.414670731	5.101217181	5.805800016
ADAM19	ADAM19	6.5713058	6.540931243	6.345183447	11.13252029	11.06436277	11.19626361
ADAM2	ADAM2	5.503636941	5.651607563	5.809928866	5.378943551	5.292845416	5.516417856
ADAM20	ADAM20	5.249267848	5.374205019	5.504620392	5.48339834	5.503613895	5.795447197
ADAM21	ADAM21	6.935018374	7.038955684	7.023477152	6.963456031	7.003737605	6.979559087
ADAM21P	ADAM21P	7.344890111	7.421477483	7.788555215	5.975796877	5.978757066	6.03504138
ADAM22	ADAM22	6.003011627	6.009962095	5.937815169	6.801977508	6.777744685	6.723696121
ADAM23	ADAM23	9.896469732	10.11212843	9.661243667	9.279066485	9.377403268	9.445882303
ADAM28	ADAM28	5.992749257	5.66630819	6.078951341	6.242189781	6.238024399	6.147554803
ADAM29	ADAM29	5.388104574	4.909663297	5.54225805	5.09239887	4.852342655	4.758562271
ADAM30	ADAM30	7.184799635	6.766365423	7.29553937	5.21024006	5.018284763	5.418579633
ADAM32	ADAM32	7.1928596	6.829096888	7.567575869	6.387732192	6.293036958	6.453436493
ADAM33	ADAM33	4.520521335	4.894686235	4.842978832	4.416578537	4.392159605	4.658656182
ADAM3A	ADAM3A	6.959460211	6.979537743	7.462706751	5.762371986	5.23762196	5.860730383
ADAM5P	ADAM5P	6.512354287	6.320292113	6.736063628	5.456335556	5.131363566	5.758297605
ADAM6	ADAM6	4.880542917	4.435401816	4.432959407	4.682528547	4.261890908	4.934380425
ADAM7	ADAM7	6.841537582	6.716232185	7.037821465	5.757127248	5.672391142	6.109583951
ADAM8	ADAM8	5.392110374	5.481897471	5.749534268	6.578409576	6.727532391	6.544081705
ADAM9	ADAM9	12.7075211	12.81861512	12.40301202	13.4619962	13.47599617	13.46048936
ADAMDEC1	ADAMDEC1	7.419088724	7.314504099	7.996614715	5.979890163	6.032286336	6.21473525
ADAMTS1	ADAMTS1	9.7298541	9.807501356	9.718704106	11.55501888	11.77018885	11.56445488
ADAMTS10	ADAMTS10	4.701348988	4.5210485	4.590961241	5.048189047	5.111322827	4.405364684
ADAMTS12	ADAMTS12	5.477508561	5.508394048	5.867896464	7.772517283	7.673679026	7.655036025
ADAMTS13	ADAMTS13	5.30130318	5.524701453	5.432959407	6.075838986	6.266101143	5.973949657
ADAMTS14	ADAMTS14	4.57627508	4.806872341	4.770829046	5.586179596	5.487843742	5.673710339
ADAMTS15	ADAMTS15	5.158222284	5.122188059	5.224966365	5.469937373	5.623401828	5.297335154
ADAMTS16	ADAMTS16	5.02060709	5.001176309	5.232660757	5.442591471	5.346214157	5.224398251
ADAMTS17	ADAMTS17	5.411973077	5.384994561	5.478971805	5.65781409	5.751803577	5.35926397
ADAMTS18	ADAMTS18	6.536263196	6.490372808	6.914086097	6.722108041	6.814206332	6.758937152
ADAMTS19	ADAMTS19	5.5722001	5.748556736	6.171927354	5.675028404	5.699491802	5.46141713
ADAMTS2	ADAMTS2	5.606975578	5.597332033	5.539158811	6.758840038	6.749759251	6.769025144
ADAMTS20	ADAMTS20	7.038032675	7.144468103	7.267723052	6.090126302	5.557394334	6.180374771
ADAMTS3	ADAMTS3	5.532915894	5.265450925	5.336283388	4.869271285	4.942586349	5.199288879
ADAMTS4	ADAMTS4	4.662909145	4.577691846	4.678071905	5.273827604	4.964519815	4.747703267
ADAMTS5	ADAMTS5	6.948520271	6.922808465	7.58044702	6.151146588	5.973719138	6.294783545
ADAMTS6	ADAMTS6	6.23643554	5.896812735	6.006746832	10.22963758	10.278339	10.14567468
ADAMTS7	ADAMTS7	6.374129777	6.493494003	6.191799501	6.729531044	6.658099031	6.628685642
ADAMTS8	ADAMTS8	5.129779952	5.117879692	5.100136671	5.143954236	5.354932664	4.97343889
ADAMTS9	ADAMTS9	4.499103182	4.40807475	4.689299161	6.33177815	6.469082876	6.073243586
ADAMTSL1	ADAMTSL1	5.439324978	5.597332033	5.646738698	10.70211738	10.7037612	10.85345964
ADAMTSL2	ADAMTSL2	4.447990347	4.5210485	4.626439137	4.767709938	4.671807906	4.480757096
ADAMTSL3	ADAMTSL3	5.759564183	5.563072781	5.602884409	5.226385471	4.931526685	5.320871847
ADAMTSL4	ADAMTSL4	6.633928931	6.554382673	6.419538892	8.077300679	7.928675405	8.084320339
